HolderAddress,Balance in DRC
0xc8dfd57e82657f1e7edec5a9aa4906230c29a62a,3056173.53044112
0x276e62c70e0b540262491199bc1206087f523af6,753361.42548060
0xc79faeed130816b38e5996b79b1b3b6568cc599f,673847.48720553
0xcd2247b2f1ba18dc1373c75b421930e54ac0c4a7,464349.82386299
0xa575d344050a12e6c1ccf5a5971342b67592c63c,457000.00000000
0xc88a5d099f7daf8bb9511323502daddbda579d28,353005.03993591
0xef9be1ace449eb63622b5c2bd4ee7af3b09dcc60,310070.32613146
0x50e138a034672200e53e1231d5f74af3009d039f,300249.00000000
0x823bf40f0fbceb9832fb4f51efc9ac19570b099a,300000.00000000
0xf9f025a793687b70f23dc131ff339f9e31e90781,290978.37918113
0xdad22a2ac69518f624c788895c4f362968489096,272474.84779538
0xd12d68fd52b54908547ebc2cd77ec6ebbefd3099,253186.24688440
0x022cf806c6dc09289ff17b3ff51d2b3337510972,205000.00000000
0xb767ae5e8ccbc0950b2966dfe2832e258dcd1d94,203803.08126938
0x398e581201f749c84b7b82d3082fcdcc676f55e1,189999.70630762
0xed3b49f396411c227938bac73ea75ef5214887a8,173305.83275678
0x0a8e20ee171630ef9dfebf02149169f90c133cd8,161236.08419770
0xd9eb3491c0b4ab3aa213d7cd91c27e7aee42d751,156101.37038202
0xe8f0c91b2b704fabb38ed337482d120ba826ad23,152684.37817945
0x67f07f36c9672150fd49c276dd85dca43679ca45,131996.79023000
0x4b68b5a0cfc1fa1a85f6b3c0db33f546b6cad57c,123696.06159374
0x71b6747765b9b116b299d3e2623be695f187aa5e,123000.00000000
0x3525e1000341002cc5c48fa8db1328caf5e3def6,105879.43646670
0xbfc020b91a1c62c6044ed8729a3d4fd7c24aadfe,100000.00000000
0xcf2e5f47133262d210e64460a7680b093c5ac994,92000.00000000
0xe44ab4f93c6ec942d230a62ab272d55e9dd53633,91279.84370251
0xa0c220c3ff5ce70ea2119450e037868e3f8110b5,87716.19212184
0x8a9cae31d77fbdea59127b02ead6edfc8c60b4c2,87125.74512670
0x7d4a7d4320439e295a78df2037df4b624b1a830a,83286.30217612
0xdbeca2d707966e217e51fff4ebdc251cab5176ae,81583.90183526
0x00f35e9ceb4a3305ecd4ba085a4f42f92e760ab5,80253.48835481
0x36803eef72a2b2c7d815b4e74b75fb5cc850e349,75140.50625595
0xad1525e1c884a3ef66e37b0890abacc17fe2a09e,66516.57175470
0x6adc7a9a3ea3d2e3060761db00ad3a4a29d8965a,65640.18253846
0xc4b14fdc6f701fa6a154b83cc4a0fc0ba8e6ac49,64795.51960754
0xcae8a52842973b4410a823affbaf14c0692bdc91,60000.58700488
0xb07ac339291fdba30d2c75355aae22ed6f3d1c7c,60000.00000000
0x124e39cd821dd9d2f9135941eaa59411b1535c79,59186.35160488
0xbf5a637a9f051c7ac5cc210fb8068dd4a5866a30,57800.00000000
0xfbd9123f3ca030632c5fc5948dfebb38b0b115f2,57800.00000000
0xd390b185603a730b00c546a951ce961b44f5f899,53139.85318369
0x4bbe8d8f5875c2abd042057b5339c8c529e556e5,52682.96843527
0x7a01445607a263612048b094f11f1bb27d7e90d2,52250.73296917
0xdf2ddf6d37e302b03bdb82446b9bcc0540edecd7,46954.31892545
0x249713b37d9bb1a495a1f52913086f6af0b96e5d,46512.88047559
0x8577e7476bf43d3af6325772d3a4fd4a4c98a94f,46267.22944325
0x7145906005419f13e8b8c935c1b9668c65fe9119,46004.53946896
0x61890b61b3a2051eb2da143af0cb9c32657457f9,45954.00000000
0xba9dfbaf86060b014f37e13af5afa060053f6fb4,45850.63199739
0xb8c1f214e853d13aaaac97d84e6df71ddcd30023,45792.24288495
0x1a366da12d86b839f155519cea37dc6a4f3d1d06,45332.11179291
0x5363975a1debf07808a8aa0a9b122d1bc4668976,44677.70682408
0xd3881d6c432e77335b6d7a1922429f7efc6c4c84,43067.00000000
0x02004dd2e87a26cbfee4fbca3407ac1b24e324e7,42123.28531744
0xc38186cb3f2a2a90f87ae06a7a6717bc8857608f,41474.11645520
0x19bf20a818eb6e237523508b3bdff016d2c95909,41270.00000000
0xa911ead1be627439b6ceeb83acd6e1fb09fd4e47,39850.31989290
0xf5108e3cd03085d04bcaca62b038cb200b02fef2,38015.03699843
0x4425b9cfa2f997417ce31026daff3601ba05e466,36277.42836411
