HolderAddress,Balance in DRC
0xc8dfd57e82657f1e7edec5a9aa4906230c29a62a,2662449
0x5917d6a0eeda1ef434b4db8fcefe461d7a5c3bdc,638000
0x276e62c70e0b540262491199bc1206087f523af6,599134
0xc79faeed130816b38e5996b79b1b3b6568cc599f,560873
0xcd2247b2f1ba18dc1373c75b421930e54ac0c4a7,464350
0xa575d344050a12e6c1ccf5a5971342b67592c63c,457000
0xef9be1ace449eb63622b5c2bd4ee7af3b09dcc60,310070
0x50e138a034672200e53e1231d5f74af3009d039f,300249
0x823bf40f0fbceb9832fb4f51efc9ac19570b099a,300000
0xf9f025a793687b70f23dc131ff339f9e31e90781,290978
0xdad22a2ac69518f624c788895c4f362968489096,272475
0xd12d68fd52b54908547ebc2cd77ec6ebbefd3099,253186
0xc88a5d099f7daf8bb9511323502daddbda579d28,237876
0xb07ac339291fdba30d2c75355aae22ed6f3d1c7c,211799
0x022cf806c6dc09289ff17b3ff51d2b3337510972,205000
0xb767ae5e8ccbc0950b2966dfe2832e258dcd1d94,203803
0x398e581201f749c84b7b82d3082fcdcc676f55e1,190000
0xed3b49f396411c227938bac73ea75ef5214887a8,175239
0x0a8e20ee171630ef9dfebf02149169f90c133cd8,161236
0xe8f0c91b2b704fabb38ed337482d120ba826ad23,152684
0x67f07f36c9672150fd49c276dd85dca43679ca45,152293
0xd9eb3491c0b4ab3aa213d7cd91c27e7aee42d751,130018
0x71b6747765b9b116b299d3e2623be695f187aa5e,123000
0x3525e1000341002cc5c48fa8db1328caf5e3def6,105879
0xbfc020b91a1c62c6044ed8729a3d4fd7c24aadfe,100000
0xcf2e5f47133262d210e64460a7680b093c5ac994,92000
0xe44ab4f93c6ec942d230a62ab272d55e9dd53633,91280
0xa0c220c3ff5ce70ea2119450e037868e3f8110b5,87716
0x8a9cae31d77fbdea59127b02ead6edfc8c60b4c2,87126
0x7d4a7d4320439e295a78df2037df4b624b1a830a,83286
0xdbeca2d707966e217e51fff4ebdc251cab5176ae,81584
0x00f35e9ceb4a3305ecd4ba085a4f42f92e760ab5,80253
0x36803eef72a2b2c7d815b4e74b75fb5cc850e349,75141
0xad1525e1c884a3ef66e37b0890abacc17fe2a09e,66517
0x6adc7a9a3ea3d2e3060761db00ad3a4a29d8965a,65640
0xc4b14fdc6f701fa6a154b83cc4a0fc0ba8e6ac49,64796
0xcae8a52842973b4410a823affbaf14c0692bdc91,60001
0x124e39cd821dd9d2f9135941eaa59411b1535c79,59186
0xbf5a637a9f051c7ac5cc210fb8068dd4a5866a30,57800
0xfbd9123f3ca030632c5fc5948dfebb38b0b115f2,57800
0x230787a3d80733abfa1580fe30dc9e5aa78b9644,53844
0x4bbe8d8f5875c2abd042057b5339c8c529e556e5,52683
0x7a01445607a263612048b094f11f1bb27d7e90d2,52251
0xd390b185603a730b00c546a951ce961b44f5f899,49459
0x249713b37d9bb1a495a1f52913086f6af0b96e5d,48013
0xdf2ddf6d37e302b03bdb82446b9bcc0540edecd7,46954
0xcd89d190353b1d0d4c103102c38b76f7696d511d,46437
0x8577e7476bf43d3af6325772d3a4fd4a4c98a94f,46267
0x7145906005419f13e8b8c935c1b9668c65fe9119,46005
0x61890b61b3a2051eb2da143af0cb9c32657457f9,45954
0xb8c1f214e853d13aaaac97d84e6df71ddcd30023,45792
0x1a366da12d86b839f155519cea37dc6a4f3d1d06,45332
0x5363975a1debf07808a8aa0a9b122d1bc4668976,44678
0xd3881d6c432e77335b6d7a1922429f7efc6c4c84,43067
0x02004dd2e87a26cbfee4fbca3407ac1b24e324e7,42123
0x111cd92405b1dfbd19882d361418f49d99d8fed8,41800
0xc38186cb3f2a2a90f87ae06a7a6717bc8857608f,41474
0x19bf20a818eb6e237523508b3bdff016d2c95909,41270
0xa911ead1be627439b6ceeb83acd6e1fb09fd4e47,39850
0xf5108e3cd03085d04bcaca62b038cb200b02fef2,38015
0x4425b9cfa2f997417ce31026daff3601ba05e466,36277
0xe96229912df2c571fdac00598b2f09a8adde639e,36000
0xba9dfbaf86060b014f37e13af5afa060053f6fb4,35851
0xa60162f138620ca5353bd5af5448368cc8cd0727,34954
0x889b40724ce7fb77b2d94d42f714cdbd2d88baf2,34395
0x3b90c92c9f37bc37e8c3ce5e7b9be677e4766dc4,33000
0x2b920d4fca6e2f4e1c313490a63217e08bbd9c01,30000
0x43805339ea73ca17558e16c8995e291006cf39ce,30000
0xbcc35b9eee35aebad14a6ee222c95acd1c25d0ee,29884
0x03b7c016e60b4207a775bdabece62069f862a5cd,29845
0xeb96dbe3fedc345f7e68ebb985ebdc70405b69ff,29399
0x8cc341948ba1834a7fe58d694d4b7974f1a29d63,29008
0xa7be9c2730ae196e43b972c51b08d093b0492a99,28560
0x90a4e1e0c3b3503c758ab487b8bc06fa730cdaf0,28086
0x648c9ef315efffdd89b057f963547ddbcd499166,25566
0xb6bb097ed2a05261da6d09e367c6c23dfd97c80b,25500
0x01076e09dcb258c16537670307f9bdced007bf37,25000
0x75b201694dc62d2c40f10d9bd0144815b43a4e61,25000
0xdd3b571bf0fe436338549d0c6d85f3a4d12acc83,24870
